PRO_COM;SEZ;SEZ2011;count;fid;max;min;value
15146;4568;151460004568;873;3265;46.2876167297363;0;3.83920277598797
15146;4690;151460004690;723;3266;17.35080909729;0;1.89191425159924
15146;4702;151460004702;654;3267;41.9117736816406;0;2.4004514735044
15146;4708;151460004708;1517;3268;25.3934841156006;0;2.67033950513967
15146;4952;151460004952;1529;3269;36.5033912658691;0;1.81847976874182
15146;4961;151460004961;1670;3270;6.94004011154175;0;0.753018791518525
15146;4548;151460004548;4742;3271;54.9513549804688;0;3.71227280815057
15146;4554;151460004554;2137;3272;34.6366119384766;0;3.74683062741284
15146;4565;151460004565;2066;3273;58.4133453369141;0;6.43600159577686
15146;4572;151460004572;680;3274;32.5282859802246;0;3.79803933536305
15146;4969;151460004969;936;3275;16.9027194976807;0;0.787388076130142
15146;4687;151460004687;1231;3276;24.7432651519775;0;1.84074812144598
15146;4692;151460004692;598;3277;22.7254314422607;0;0.912654608787103
15146;4693;151460004693;1011;3278;36.1660842895508;0;3.71196139342235
15146;4703;151460004703;576;3279;42.0051422119141;0;6.02594545152452
15146;4704;151460004704;841;3280;44.9741706848145;0;6.89996969288793
15146;4714;151460004714;702;3281;16.7270793914795;0;0.802604044944133
15146;4715;151460004715;2582;3282;37.0241661071777;0;2.75333627335883
15146;4959;151460004959;10056;3283;56.5866165161133;0;2.36690373750746
15146;4559;151460004559;1380;3284;32.3739738464355;0;3.74258697067482
15146;4965;151460004965;667;3285;19.2864379882812;0;0.92646608824494
15146;4685;151460004685;1357;3286;26.2058925628662;0;2.50156343554256
15146;4686;151460004686;1464;3287;31.8561897277832;0;2.40523341444672
15146;4696;151460004696;1274;3288;67.8061676025391;0;5.23496982927786
15146;4705;151460004705;3599;3289;81.3203277587891;0;6.33361643425257
15146;4713;151460004713;817;3290;8.36844921112061;0;0.367164527771668
15146;4721;151460004721;1089;3291;31.8561897277832;0;2.47745768229167
15146;4950;151460004950;3777;3292;63.6382675170898;0;4.78970475079428
15146;4955;151460004955;1165;3293;87.2219467163086;0;16.6912821888412
15146;4567;151460004567;1206;3294;41.3434295654297;0;2.89437456273321
15146;4970;151460004970;632;3295;16.9027194976807;0;1.96336577210245
15146;4698;151460004698;421;3296;48.3480262756348;0;7.81579734820368
15146;4699;151460004699;498;3297;46.4602508544922;0;6.01548233951431
15146;4707;151460004707;1712;3298;26.1464710235596;0;1.38407470132703
15146;4556;151460004556;598;3299;51.9196319580078;0;6.03239354162312
15146;4562;151460004562;1125;3300;32.2428550720215;0;2.61071332465278
15146;3770;151460003770;1200;3301;54.0660781860352;0;5.43206380208333
15146;3772;151460003772;725;3302;55.3523559570312;0;6.41013604525862
15146;3779;151460003779;1384;3303;45.8457565307617;0;8.1845307984104
15146;3783;151460003783;641;3304;32.7790107727051;0;3.04654021121782
15146;3793;151460003793;1163;3305;42.2518501281738;0;8.9649848183577
15146;3795;151460003795;555;3306;8.56476497650146;0;0.980255181939752
15146;3799;151460003799;1236;3307;41.1032180786133;0;1.64609001678171
15146;3815;151460003815;848;3308;30.2408618927002;0;1.57846933040979
15146;3818;151460003818;689;3309;17.6126594543457;0;0.49080676783325
15146;3827;151460003827;1763;3310;42.6876373291016;0;4.08410734543392
15146;3835;151460003835;730;3311;31.33154296875;0;4.46792159407106
15146;3769;151460003769;1045;3312;59.9962959289551;0;3.52877892307117
15146;3775;151460003775;468;3313;32.8048400878906;0;3.31389546190572
15146;3777;151460003777;494;3314;27.9199447631836;0;1.58340145219193
15146;3804;151460003804;846;3315;17.4863300323486;0;1.26458076495087
15146;3807;151460003807;801;3316;12.8031673431396;0;0.770875395014045
15146;3809;151460003809;718;3317;6.911301612854;0;0.340110077499347
15146;3821;151460003821;1385;3318;18.8431644439697;0;1.95417171987816
15146;3828;151460003828;955;3319;43.9158134460449;0;5.91769981184555
15146;3776;151460003776;466;3320;11.8520879745483;0;1.61285793320815
15146;3786;151460003786;766;3321;45.8803329467773;0;7.97549287083877
15146;3791;151460003791;594;3322;44.7687072753906;0;3.07415750933817
15146;3808;151460003808;578;3323;19.1775989532471;0;1.51155877030844
15146;3811;151460003811;1366;3324;6.30562305450439;0;0.573815363916087
15146;3834;151460003834;816;3325;92.8973388671875;0;8.69778681736366
15146;3846;151460003846;737;3326;11.3438444137573;0;0.533335050378435
15146;3850;151460003850;1130;3327;9.5085916519165;0;1.08985466070935
15146;3774;151460003774;945;3328;32.8048400878906;0;3.04917741402116
15146;3781;151460003781;726;3329;28.6541538238525;0;2.14390290735839
15146;3787;151460003787;1522;3330;75.3167190551758;0;8.43468773098719
15146;3789;151460003789;556;3331;6.97443151473999;0;0.129887327015829
15146;3805;151460003805;852;3332;25.4508800506592;0;2.16998061775602
15146;3806;151460003806;1233;3333;38.292839050293;0;3.75506497744323
15146;3819;151460003819;881;3334;40.9137954711914;0;6.11856144916998
