Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Estado dato
2012;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;717534;
2013;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;26234839;
2013;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;1556015;
2013;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;716392;
2013;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;195593;
2013;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;135786;
2013;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;1046192;
2013;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;4281774;
2013;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;1751608;
2013;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;503136;
2013;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;136837;
2013;Inversión total en protección ambiental de las empresas industriales;Otros;;;33615695;
2013;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;1012503;
2013;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;88254392;
2013;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;1154467;
2013;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;638922;
2013;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;143289;
2013;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;24599443;
2013;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;6452;
2013;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;24599443;
2013;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;141964;
2013;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;7380856;
2013;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;3842565;
2013;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;329800;
2013;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;439209;
2014;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;27456552;
2014;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;1389274;
2014;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;3094383;
2014;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;2107870;
2014;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;397311;
2014;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;4483657;
2014;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;7801218;
2014;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;3612856;
2014;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;381650;
2014;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;127639;
2014;Inversión total en protección ambiental de las empresas industriales;Otros;;;38334082;
2014;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;1504986;
2014;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;245965;
2014;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;95221165;
2014;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;535735;
2014;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;778961;
2014;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;215022;
2014;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;20906633;
2014;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;87383;
2014;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;20906633;
2014;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;289770;
2014;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;10877530;
2014;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;7228016;
2014;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;573202;
2015;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;25781326;
2015;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;732656;
2015;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;1662945;
2015;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;376479;
2015;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;178059;
2015;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;2395601;
2015;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;6048407;
2015;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;990920;
2015;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;416045;
2015;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;409214;
2015;Inversión total en protección ambiental de las empresas industriales;Otros;;;33150694;
2015;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;614441;
2015;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;318037;
2015;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;91089899;
2015;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;496705;
2015;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;594104;
2015;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;565789;
