cod_estacion,nombre,tipo,latitud,longitud,activa,fecha,indice,debido_a
45153999,SAN PABLO DE LOS MONTES,FONDO,39.54633,-4.35042,true,2025-09-30T07:00:00,1,O3
45165003,TALAVERA DE LA REINA,FONDO,39.9586,-4.8457,false,2025-09-30T07:00:00,,
45165004,TALAVERA DE LA REINA - PÍO XII,TRAFICO,39.9638,-4.8257,true,2025-09-30T07:00:00,20,O3
45168002,TOLEDO2,FONDO,39.8681,-4.0208,true,2025-09-30T07:00:00,10,PM2.5
45200001,LOS YÉBENES,FONDO,39.5769,-3.8652,true,2025-09-30T07:00:00,10,PM2.5
46010001,ALBALAT DELS TARONGERS,INDUSTRIAL,39.70528,-0.33667,true,2025-09-30T07:00:00,20,O3
46017002,ALZIRA,FONDO,39.15,-0.45778,true,2025-09-30T07:00:00,10,O3
46028001,ALGAR DE PALÀNCIA,FONDO,39.78222,-0.35917,true,2025-09-30T07:00:00,20,O3
46062001,BENIGANIM,FONDO,38.93472,-0.44139,true,2025-09-30T07:00:00,10,O3
46077006,BUÑOL CEMEX,INDUSTRIAL,39.42722,-0.78389,false,2025-09-30T07:00:00,20,O3
46078004,BURJASSOT - FACULTATS,TRAFICO,39.50944,-0.41778,true,2025-09-30T07:00:00,10,O3
46095001,CAUDETE DE LAS FUENTES,FONDO,39.55861,-1.28139,true,2025-09-30T07:00:00,20,O3
46099001,CORTES DE PALLÁS,FONDO,39.26083,-0.93444,true,2025-09-30T07:00:00,2,O3
46102002,QUART DE POBLET,TRAFICO,39.48111,-0.44722,true,2025-09-30T07:00:00,20,O3
46131002,GANDÍA,TRAFICO,38.96667,-0.19,true,2025-09-30T07:00:00,10,O3
46184002,ONTINYENT,FONDO,38.78806,-0.69722,true,2025-09-30T07:00:00,20,O3
46190005,PATERNA-CEAM,FONDO,39.55139,-0.46083,true,2025-09-30T07:00:00,20,O3
46220003,SAGUNT PORT,TRAFICO,39.66722,-0.23472,true,2025-09-30T07:00:00,20,O3
46220009,SAGUNT-NORD,FONDO,39.68472,-0.27889,true,2025-09-30T07:00:00,20,O3
46220010,SAGUNT CEA,INDUSTRIAL,39.63417,-0.26583,true,2025-09-30T07:00:00,20,O3
46242001,TORREBAJA,FONDO,40.09944,-1.25389,true,2025-09-30T07:00:00,10,O3
46244003,TORRENT-EL VEDAT,FONDO,39.42528,-0.4825,true,2025-09-30T07:00:00,20,O3
46250030,VALÈNCIA-PISTA DE SILLA,TRAFICO,39.45611,-0.37583,true,2025-09-30T07:00:00,20,O3
46250043,VALÈNCIA-VIVERS,FONDO,39.47806,-0.36833,true,2025-09-30T07:00:00,20,O3
46250046,VALÈNCIA-POLITÈCNIC,FONDO,39.4803,-0.3364,true,2025-09-30T07:00:00,20,O3
46250047,VALÈNCIA - AVD. FRANCIA,TRAFICO,39.4575,-0.34278,true,2025-09-30T07:00:00,20,O3
46250048,VALÈNCIA - MOLÍ DEL SOL,TRAFICO,39.4811,-0.4083,true,2025-09-30T07:00:00,0,
46250050,VALÈNCIA - BULEVARD SUD,TRAFICO,39.45028,-0.39639,true,2025-09-30T07:00:00,20,O3
46250054,VALÈNCIA-CENTRE,TRAFICO,39.44833,-0.37647,true,2025-09-30T07:00:00,1,PM10
46250055,VALÈNCIA OLIVERETA,TRAFICO,39.46922,-0.40605,true,2025-09-30T07:00:00,1,PM10
46256001,VILAMARXANT,FONDO,39.56472,-0.62556,true,2025-09-30T07:00:00,20,O3
46258001,VILLAR DEL ARZOBISPO,FONDO,39.70806,-0.83194,true,2025-09-30T07:00:00,20,O3
46263999,ZARRA,FONDO,39.08278,-1.10083,true,2025-09-30T07:00:00,2,O3
47085003,MEDINA DEL CAMPO,INDUSTRIAL,41.31639,-4.90917,true,2025-09-30T07:00:00,1,O3
